Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,370.23999,371.350006,351.5,352.619995,352.619995,6305400
2017-07-05,347.200012,347.23999,326.329987,327.089996,327.089996,17046700
2017-07-06,317.26001,320.790009,306.299988,308.829987,308.829987,19324500
2017-07-07,313.5,317.0,307.380005,313.22000099999997,313.22000099999997,14176900
2017-07-10,312.899994,317.940002,303.130005,316.049988,316.049988,13820900
2017-07-11,316.0,327.27999900000003,314.299988,327.22000099999997,327.22000099999997,11559400
2017-07-12,330.399994,333.100006,324.5,329.519989,329.519989,10346100
2017-07-13,330.109985,331.600006,319.97000099999997,323.410004,323.410004,8594500
2017-07-14,323.190002,328.420013,321.22000099999997,327.77999900000003,327.77999900000003,5625200
2017-07-17,325.540009,327.100006,313.450012,319.570007,319.570007,9876900
2017-07-18,317.5,329.130005,315.660004,328.23999,328.23999,6373700
2017-07-19,328.230011,331.649994,323.22000099999997,325.26001,325.26001,6357000
2017-07-20,326.899994,330.22000099999997,324.200012,329.920013,329.920013,5166200
2017-07-21,329.459991,331.26001,325.799988,328.399994,328.399994,4901600
2017-07-24,330.23999,343.399994,330.01001,342.519989,342.519989,8637100
2017-07-25,345.0,345.600006,334.149994,339.600006,339.600006,6989200
2017-07-26,340.359985,345.5,338.119995,343.850006,343.850006,4820800
2017-07-27,346.0,347.5,326.290009,334.459991,334.459991,8302400
2017-07-28,336.890015,339.600006,332.51001,335.070007,335.070007,4880400
2017-07-31,335.5,341.48999,321.040009,323.47000099999997,323.47000099999997,8535100
2017-08-01,323.0,324.450012,316.130005,319.570007,319.570007,8303100
2017-08-02,318.940002,327.119995,311.22000099999997,325.890015,325.890015,13091500
2017-08-03,345.329987,350.0,343.149994,347.089996,347.089996,13535000
2017-08-04,347.0,357.269989,343.299988,356.910004,356.910004,9198400
2017-08-07,357.350006,359.47000099999997,352.75,357.290009,357.290009,3848179
