Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,912.179993,913.9400019999999,894.7899779999999,898.7000119999999,898.7000119999999,1709800
2017-07-05,901.76001,914.51001,898.5,911.7100220000001,911.7100220000001,1813900
2017-07-06,904.1199949999999,914.9439699999999,899.7000119999999,906.6900019999999,906.6900019999999,1424500
2017-07-07,908.849976,921.5399779999999,908.849976,918.590027,918.590027,1637800
2017-07-10,921.7700199999999,930.3800050000001,919.590027,928.7999880000001,928.7999880000001,1192800
2017-07-11,929.5399779999999,931.429993,922.0,930.090027,930.090027,1113200
2017-07-12,938.679993,946.2999880000001,934.4699710000001,943.830017,943.830017,1532100
2017-07-13,946.2899779999999,954.4500119999999,943.01001,947.159973,947.159973,1294700
2017-07-14,952.0,956.909973,948.0050050000001,955.98999,955.98999,1053800
2017-07-17,957.0,960.73999,949.2410279999999,953.419983,953.419983,1165500
2017-07-18,953.0,968.0399779999999,950.599976,965.400024,965.400024,1154000
2017-07-19,967.840027,973.0399779999999,964.0300289999999,970.8900150000001,970.8900150000001,1224500
2017-07-20,975.0,975.900024,961.51001,968.150024,968.150024,1624500
2017-07-21,962.25,973.2299800000001,960.150024,972.919983,972.919983,1711000
2017-07-24,972.2199710000001,986.2000119999999,970.7700199999999,980.340027,980.340027,3248300
2017-07-25,953.8099980000001,959.7000119999999,945.400024,950.7000119999999,950.7000119999999,4661000
2017-07-26,954.679993,955.0,942.278992,947.7999880000001,947.7999880000001,2088300
2017-07-27,951.7800289999999,951.7800289999999,920.0,934.090027,934.090027,3213000
2017-07-28,929.400024,943.830017,927.5,941.5300289999999,941.5300289999999,1846400
2017-07-31,941.8900150000001,943.590027,926.0399779999999,930.5,930.5,1970100
2017-08-01,932.3800050000001,937.4470210000001,929.26001,930.830017,930.830017,1277700
2017-08-02,928.6099849999999,932.599976,916.679993,930.3900150000001,930.3900150000001,1824400
2017-08-03,930.340027,932.23999,922.23999,923.650024,923.650024,1202500
2017-08-04,926.75,930.307007,923.0300289999999,927.9600220000001,927.9600220000001,1036300
2017-08-07,929.0599980000001,931.7000119999999,926.5,929.3549800000001,929.3549800000001,411668
